id,category,difficulty,like
G98C2xrrkJnCSH7isteh,Culture,easy,0
GcQL41zgCQvvqk76jUtV,Art,hard,0
GrJEduiuQJZCPwZE1unr,Art,easy,0
IDZ7kf2x8XRKSk4l6n3I,Culture,hard,0
IaxegJ968XoL3pxkzpGH,Art,medium,0
IyCxqTpdwxxeLhZNWyEZ,Art,hard,0
JTJma5pIZmGeHC2pHXfw,Geography,medium,0
K12mLH5fBOYHZ3pmZQ7Y,History,easy,0
K4oTnFvYZcbpidr8qVQX,Culture,medium,0
L0r2pYtL6NhUzKD4dkb1,Science,easy,0
L5dH4pi3u86TlEfAPyGq,Art,medium,0
LEBR5NuwHWrpcXR3oVfD,History,hard,0
LVZ6Hhpc9aXMILdYD8In,Culture,hard,0
M0HWLSdzl3k2JdqCWvXH,History,medium,0
Mo2YUtZ9fUiqpeKbEy0V,Geography,hard,0
NZyHmr9do29saItRhZyu,Biology,hard,0
Nsjd7btrDMEO6TniHzOM,History,hard,0
Ny2zEDA17MvyPiwaQ5FC,Biology,easy,0
OIdJRUlHu5sBLKGpYzSF,Science,easy,0
OUkgGnF2DboOJy4xqyzb,Travel,medium,0
OVhd9SnQ6ZhtXmiSaRb5,History,easy,0
OeZ9b2lQcvd7pWZdVxYs,Geography,hard,0
OfclCUjEg4oHM7dhw06P,Travel,easy,0
OiCQmziXIjdWvkpm4Zrh,Travel,easy,0
PRRw51q8GC4tTuO8aC8w,Biology,hard,0
PnRY3Kk2cfLsT6DsrnVf,History,hard,0
Q2LZYJGIotCSp4fdmUnX,Culture,easy,0
QAnyKnHfYp3zerYtx7Cg,Culture,hard,0
QucnmdQ3f5XgOYd1hcgo,History,hard,0
R5PGoyhjAkSdUbdHgZBd,Culture,easy,0
R6B2gLRgkdf2bdkjhSaE,Travel,easy,0
RZOuiSlLyKa1iTsyOriJ,Travel,medium,0
S0nFGSVzveLUCdpgEuqZ,Biology,easy,0
S35bqZym4evDv7OhSS9o,Travel,hard,0
SGQ26jizM4RJU7fkrdZs,Art,medium,0
SrW9SgmJzt3Y8GEy1pyc,Art,easy,0
Tl5zBA0SeQlQg13M8VXf,Geography,medium,0
UOxjerB3stN2p24tJzlp,Art,medium,0
UqL5whudPM0wPFUUSjDw,Art,medium,0
V3yLHWCo8QEZCDlBkdDL,Biology,easy,0
V9QoYMVjFBETUZmbP8sa,History,medium,0
VHfSNVuJ1FhQfut0f7kE,Culture,medium,0
VK7CcKTci0cGh9mNfFfF,Biology,medium,0
VNBlGthEqnV9Kds3N57G,Travel,easy,0
VNUfGVHZoN2VcNki70t1,Culture,hard,0
VRcnXtltv4QH4l5Un6aW,Biology,hard,0
VmBAifm0tiPM6OhjWeJh,Culture,medium,0
WDEuJuaNXekqXqkvz1xU,History,hard,0
X3uJFxcxotsm7urbOgNn,Science,hard,0
Xc3CQSznq9vMwyGZxKFG,Culture,hard,0
YEQRVsYBeWlLZwBnOKtN,Culture,easy,0
YEt3wgXCQsWE7wqulUYi,Travel,easy,0
YT3Txqd0EczSTSC5Bmnv,History,hard,0
Ywu4pKesm2uztCgs9O50,Geography,hard,0
Z62r4h6fggfy4Z4VQBF3,Geography,medium,0
ZeEixwtAi5ZRwtjTDDeX,Travel,easy,0
ZnngxxY7EnGlUNDxxDk1,Travel,easy,0
ZxR22Ke25ZBuFgK3NhRN,Biology,hard,0
aFwIx9mCs1ueXgsB0mwM,History,easy,0
aWLaiKCNYIZgy2cJlG06,Culture,medium,0
aZQZcFICxPCiFjtwd0lm,Art,medium,0
bHqKdwh7nRXe55s6ZtHs,History,easy,0
bPJ0LWWMn81MZmk7GHIj,Geography,hard,0
bXixVgWOcg2dtQPGdWYT,Biology,hard,0
bj2XWV4ocOROLTInvCGg,Biology,easy,0
bjxhaONYb4ap8oWBlrhy,Geography,medium,0
cmmUV8paifuuWs9lliro,Science,hard,0
dFb9HdIwx5MIzCXw30EX,Geography,hard,0
dUNYEcOKFpWVfZh0Wl4l,Travel,medium,0
